time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451350000	9.637	20.8972	4.55227	3.33226	0.489939	radar	2.23667e-314	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.45381	20.8465	4.46492	3.364	0.500598	lidar	1.39069e-309	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.24494	20.799	4.47465	3.39144	0.509078	radar	2.23667e-314	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.91379	20.7825	4.72415	3.38267	0.463232	lidar	1.39069e-309	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.70951	20.699	4.69486	3.42278	0.488651	radar	2.23667e-314	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40734	20.6234	4.86613	3.43788	0.473564	lidar	1.39069e-309	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17707	20.5437	4.88415	3.4667	0.4834	radar	2.23667e-314	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.9269	20.4654	4.92701	3.48648	0.477297	lidar	1.39069e-309	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.70882	20.3799	4.96276	3.51944	0.500075	radar	2.23667e-314	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.36783	20.3276	5.19061	3.50602	0.450362	lidar	1.39069e-309	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.12598	20.235	5.16459	3.52447	0.440373	radar	2.23667e-314	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.85874	20.1507	5.22182	3.53507	0.426022	lidar	1.39069e-309	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.62752	20.0616	5.17002	3.5501	0.414032	radar	2.23667e-314	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
